epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,9277.78,1.4438,1.48733,0.02083,0.54518,0.59043,0.59671,0.29239,1.75472,1.52327,0.04237,0.000246363,0.000246363,0.000246363
137,9342.13,1.44916,1.50479,0.02123,0.56696,0.58641,0.60621,0.29656,1.76207,1.51508,0.04262,0.000239766,0.000239766,0.000239766
138,9406.89,1.41961,1.46432,0.02006,0.5585,0.60955,0.60526,0.2938,1.75062,1.53472,0.04175,0.000233234,0.000233234,0.000233234
139,9470.71,1.41937,1.47936,0.02026,0.54881,0.65048,0.64653,0.31772,1.67716,1.4895,0.04036,0.000226769,0.000226769,0.000226769
140,9536.07,1.44639,1.51291,0.02093,0.58403,0.59501,0.62473,0.30911,1.69905,1.57525,0.04116,0.000220372,0.000220372,0.000220372
141,9601.72,1.42007,1.46461,0.02042,0.58807,0.62579,0.64736,0.31319,1.74462,1.49665,0.04238,0.000214046,0.000214046,0.000214046
142,9665.73,1.43118,1.48028,0.02038,0.57557,0.6454,0.64569,0.30753,1.77278,1.45706,0.04206,0.000207792,0.000207792,0.000207792
143,9731.73,1.42011,1.47482,0.02024,0.57405,0.63198,0.63052,0.30498,1.73854,1.50404,0.04191,0.000201611,0.000201611,0.000201611
144,9816.42,1.42903,1.498,0.0212,0.55981,0.63623,0.63366,0.31332,1.73012,1.44949,0.04198,0.000195505,0.000195505,0.000195505
145,9881.44,1.43348,1.44888,0.02051,0.55477,0.6406,0.63179,0.30988,1.7188,1.47293,0.04108,0.000189475,0.000189475,0.000189475
146,9945.68,1.40373,1.42284,0.01971,0.58991,0.6127,0.63529,0.30699,1.76244,1.46184,0.04219,0.000183523,0.000183523,0.000183523
147,10010.3,1.41179,1.47951,0.02031,0.57074,0.62467,0.62839,0.31146,1.71196,1.50196,0.04096,0.000177651,0.000177651,0.000177651
148,10074.2,1.41892,1.44349,0.02028,0.58696,0.62863,0.63565,0.32097,1.69813,1.45149,0.04124,0.000171859,0.000171859,0.000171859
